id,type,prompt,choices,reply,rating,time,model,precision
0,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,1287,phi-3.5-mini-instruct,8
1,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,542,phi-3.5-mini-instruct,8
2,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,306,phi-3.5-mini-instruct,8
3,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,389,phi-3.5-mini-instruct,8
4,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,410,phi-3.5-mini-instruct,8
5,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,473,phi-3.5-mini-instruct,8
6,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,285,phi-3.5-mini-instruct,8
7,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,313,phi-3.5-mini-instruct,8
8,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,271,phi-3.5-mini-instruct,8
9,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,320,phi-3.5-mini-instruct,8
10,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,312,phi-3.5-mini-instruct,8
11,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,292,phi-3.5-mini-instruct,8
12,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,279,phi-3.5-mini-instruct,8
13,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,327,phi-3.5-mini-instruct,8
14,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,355,phi-3.5-mini-instruct,8
15,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,307,phi-3.5-mini-instruct,8
16,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,313,phi-3.5-mini-instruct,8
17,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,320,phi-3.5-mini-instruct,8
18,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,313,phi-3.5-mini-instruct,8
19,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,299,phi-3.5-mini-instruct,8
0,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,855,phi-3.5-mini-instruct,16
1,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,473,phi-3.5-mini-instruct,16
2,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,257,phi-3.5-mini-instruct,16
3,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,173,phi-3.5-mini-instruct,16
4,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,522,phi-3.5-mini-instruct,16
5,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,271,phi-3.5-mini-instruct,16
6,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,180,phi-3.5-mini-instruct,16
7,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,188,phi-3.5-mini-instruct,16
8,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,180,phi-3.5-mini-instruct,16
9,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,173,phi-3.5-mini-instruct,16
10,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,173,phi-3.5-mini-instruct,16
11,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,202,phi-3.5-mini-instruct,16
12,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,167,phi-3.5-mini-instruct,16
13,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,166,phi-3.5-mini-instruct,16
14,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,167,phi-3.5-mini-instruct,16
15,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,250,phi-3.5-mini-instruct,16
16,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,181,phi-3.5-mini-instruct,16
17,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,188,phi-3.5-mini-instruct,16
18,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,173,phi-3.5-mini-instruct,16
19,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,174,phi-3.5-mini-instruct,16
0,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,4181,smollm2-1.7b-instruct,8
1,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",cherries,0,2010,smollm2-1.7b-instruct,8
2,mc,What fruit costs one dollar?,"['apples', 'blueberries', 'bananas', 'cherries']",apples,1,500,smollm2-1.7b-instruct,8
